::::
Sl.No:District:Area/Places:Enroll No:Channels
280:Madurai:Peraiyur:55911:MS TV
281:Madurai:Peraiyur:55912:KRISHNA TV
282:Madurai:Peraiyur:55913:SS TV
283:Madurai:Peraiyur:55914:R TV
284:Madurai:Peraiyur:55915:RBV TV
285:Madurai:Peraiyur:55916:SRI SABARI TV
286:Madurai:Peraiyur:55917:MGM TV
287:Madurai:Thirumangalam:56617:NILA TV
288:Madurai:Thirumangalam:55884:MEN TV
289:Madurai:Thirumangalam:55885:LION TV
290:Madurai:Thirumangalam:55886:NEW ALPHA COMMUNICATION
291:Madurai:Thirumangalam:55887:SRI SABARI TV
292:Madurai:Thirumangalam:55888:MGM TV
293:Madurai:Thirumangalam:55889:KRISHNA TV
294:Madurai:Thirumangalam:55890:ANANDAM TV
295:Madurai:Thirumangalam:55891:G MUSIC
296:Madurai:Thirumangalam:55892:KING TV
297:Madurai:Usilampatti:56664:M.BOYS TV
298:Madurai:Usilampatti:56667:J TV
299:Madurai:Usilampatti:55867:KRISHNA TV
300:Madurai:Usilampatti:55868:JG TV
301:Madurai:Usilampatti:55869:MGM TV
302:Madurai:Usilampatti:55870:JAI GURU CABLES
303:Madurai:Usilampatti:55871:G MUSIC
304:Madurai:Usilampatti:55872:NO 1 TV
305:Madurai:Usilampatti:55873:G PLUS
306:Madurai:Usilampatti:55874:LION TV
307:Madurai:Usilampatti:55875:SRI SABARI TV
308:Madurai:Usilampatti:55876:DINESH TV
309:Madurai:Usilampatti:55877:SOLAI TV
310:Madurai:Usilampatti:55878:ANANDAM TV
311:Madurai:Vadipatti:56538:BUDHA TV
312:Madurai:Vadipatti:56582:MALAR TV
313:Madurai:Vadipatti:55899:LION TV
314:Madurai:Vadipatti:55900:KRISHNA TV
315:Madurai:Vadipatti:55901:ANNAI TV
316:Madurai:Vadipatti:55902:MGM TV
317:Madurai:Vadipatti:55903:SOLAI TV
318:Madurai:Vadipatti:55904:SS ADVERTISERS
319:Madurai:Vadipatti:55905:ANANDAM TV
320:Madurai:Vadipatti:55906:SRI SABARI TV
321:Madurai:Vadipatti:55907:JAYAM
322:Nagapattinam:Kilvelur:55921:SUBAM TV
323:Nagapattinam:Kilvelur:56696:JJ TV
324:Nagapattinam:Mayiladuthurai:56588:Q TV
325:Nagapattinam:Mayiladuthurai:56589:N TV
326:Nagapattinam:Mayiladuthurai:56590:KAVIRI TV
327:Nagapattinam:Mayiladuthurai:56591:UTV COMMUNICATION
328:Nagapattinam:Mayiladuthurai:56593:RAJA TV
329:Nagapattinam:Mayiladuthurai:56594:NEW TV
330:Nagapattinam:Mayiladuthurai:56595:KAMBAN PLUS
331:Nagapattinam:Mayiladuthurai:56596:TAMIL CABLE ULAGAM
332:Nagapattinam:Mayiladuthurai:56682:Q MAX TV
333:Nagapattinam:Mayiladuthurai:56767:ATS POWER
334:Nagapattinam:Nagapattinam:55918:KTN PLUS 1
335:Nagapattinam:Nagapattinam:55919:AMN TV
336:Nagapattinam:Nagapattinam:55920:NAGAI TELEVISION NETWORK
337:Nagapattinam:Tharangampadi:56592:VANDHANA TV
338:Nagapattinam:Vedaranyam:55922:TCN
339:Nagapattinam:Vedaranyam:55923:AYYAN TV
340:Nagapattinam:Vedaranyam:55924:VASAN TV
341:Nagapattinam:Vedaranyam:55925:CLASSIC TV
342:Nagapattinam:Vedaranyam:55926:BIG TV 3D
343:Nagapattinam:Vedaranyam:55927:KALAI TV
344:Nagapattinam:Vedaranyam:55928:KANDA'S TV
345:Namakkal:Namakkal:55934:RAGA TV
346:Namakkal:Namakkal:55935:RAINBOW CHANNEL
347:Namakkal:Namakkal:55936:AMN TV
348:Namakkal:Namakkal:55937:ROYAL TV
349:Namakkal:Paramathi Velur:55929:SRI AMMAN CABLE TV
350:Namakkal:Paramathi Velur:55930:MOON TV
351:Namakkal:Paramathi Velur:55931:AMN TV
352:Namakkal:Paramathi Velur:55932:VELUR TV
353:Namakkal:Paramathi Velur:55933:RAGA TV
354:Namakkal:Paramathi Velur:56530:R PLUS
355:Namakkal:Paramathi Velur:56662:Abi TV
356:Namakkal:Rasipuram:55938:JAYAM TV
357:Namakkal:Rasipuram:55939:SV CHANNEL
358:Namakkal:Rasipuram:55940:RAINBOW CHANNEL
359:Namakkal:Rasipuram:55941:MOON TV
360:Namakkal:Rasipuram:55942:RASI TV
361:Namakkal:Rasipuram:55943:ANNAI TV
362:Namakkal:Rasipuram:55944:TOP TV
363:Namakkal:Rasipuram:55945:AMN TV
364:Namakkal:Thiruchengode (Incl. Kumarapalayam):55946:SANGAMAM TV
365:Namakkal:Thiruchengode (Incl. Kumarapalayam):55947:RAAGA TV
366:Namakkal:Thiruchengode (Incl. Kumarapalayam):55948:PCN TV
367:Namakkal:Thiruchengode (Incl. Kumarapalayam):55949:AMN TV
368:Namakkal:Thiruchengode (Incl. Kumarapalayam):55950:SKY TV
369:Namakkal:Thiruchengode (Incl. Kumarapalayam):55951:MG CHANNEL
370:Namakkal:Thiruchengode (Incl. Kumarapalayam):55952:LOTUS TV
371:Namakkal:Thiruchengode (Incl. Kumarapalayam):55953:RAINBOW
372:Namakkal:Thiruchengode (Incl. Kumarapalayam):55954:SRI AMMAN CABLE TV
373:Namakkal:Thiruchengode (Incl. Kumarapalayam):55955:SV CHANNEL
374:Perambalur:Alathur:56578:SRI SIVASAKTHI
375:Perambalur:Kunnam:55817:ARUL TV
376:Perambalur:Kunnam:55818:IDHAYAM TV
377:Perambalur:Kunnam:55819:RAINBOW MUSIC
378:Perambalur:Perambalur:55813:R TV
379:Perambalur:Perambalur:55814:AMN TV (PERAMBALUR)
380:Perambalur:Perambalur:55815:CITY CHANNEL
381:Perambalur:Perambalur:55816:JOTHI TV
382:Perambalur:Veppanthattai:55820:SCVC
383:Perambalur:Veppanthattai:56718:KALLARU
384:Pudukkottai:Aranthangi:55964:CITY TV
385:Pudukkottai:Aranthangi:55965:ABC TV
386:Pudukkottai:Aranthangi:55966:AHA TV
387:Pudukkottai:Aranthangi:55967:THUMBI TV
388:Pudukkottai:Aranthangi:55968:N TV
389:Pudukkottai:Aranthangi:55969:SR TV
390:Pudukkottai:Aranthangi:55970:NEELA TV
391:Pudukkottai:Aranthangi:55971:ARASAN TV
392:Pudukkottai:Gandarvakottai:55960:CTN
393:Pudukkottai:Gandarvakottai:55961:SIVA TV
394:Pudukkottai:Gandarvakottai:55962:STAR MEDIA TV
395:Pudukkottai:Gandarvakottai:55963:CR TV
396:Pudukkottai:Illupur:55957:AR TV
397:Pudukkottai:Karambakudi:55956:STAR MEDIA TV
398:Pudukkottai:Karambakudi:56522:CTN TV
399:Pudukkottai:Karambakudi:56576:VELAN
400:Pudukkottai:Kulathur:55958:CR TV
401:Pudukkottai:Kulathur:56737:RTN TV
402:Pudukkottai:Manamelkudi:55959:NEW SR TV
403:Pudukkottai:Ponnamaravathi:56508:PRABHU TV
404:Pudukkottai:Ponnamaravathi:56509:SR TV
405:Pudukkottai:Ponnamaravathi:56510:N TV
406:Pudukkottai:Ponnamaravathi:56511:TAMIL TV
407:Pudukkottai:Ponnamaravathi:56553:SHIVAM TV
408:Pudukkottai:Pudukkottai:55972:SV TV
409:Pudukkottai:Pudukkottai:55973:THENDRAL TV
410:Pudukkottai:Pudukkottai:55975:CTN
411:Pudukkottai:Pudukkottai:55976:CR TV
412:Pudukkottai:Pudukkottai:55977:MULLAI TV
413:Pudukkottai:Pudukkottai:55978:BHARATH TV
414:Pudukkottai:Pudukkottai:55979:AMN TV
415:Pudukkottai:Pudukkottai:55980:GR TV
416:Pudukkottai:Pudukkottai:55981:VAAGAI TV
417:Pudukkottai:Pudukkottai:55982:BOYS TV
418:Pudukkottai:Pudukkottai:55983:Q TV
419:Pudukkottai:Pudukkottai:55984:ANBU TV
420:Pudukkottai:Pudukkottai:55985:SR TV
421:Pudukkottai:Pudukkottai:55986:TAMIL TV
422:Pudukkottai:Pudukkottai:55987:SRI TV
423:Pudukkottai:Pudukkottai:56585:RAINBOW TV
424:Ramanathapuram:Kadaladi:56623:ADHITHYA TV
425:Ramanathapuram:Kamuthi:55988:P TV
426:Ramanathapuram:Madukulathur:55989:MGV TV
427:Ramanathapuram:Madukulathur:56726:SUGAM TV
428:Ramanathapuram:Paramakudi:56001:KGME SYSTEM
429:Ramanathapuram:Paramakudi:56002:SKY TV
430:Ramanathapuram:Paramakudi:56003:SIM TV
431:Ramanathapuram:Paramakudi:56004:NANBAN PLUS TV
432:Ramanathapuram:Paramakudi:56005:THAAI TV
433:Ramanathapuram:Paramakudi:56006:Q MAX CABLE NETWORK
434:Ramanathapuram:Paramakudi:56007:CITY TV
435:Ramanathapuram:Paramakudi:56008:VANAVIL TV
436:Ramanathapuram:Paramakudi:56009:MASS MEDIA
437:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):55994:BABY CABLE VISION
438:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):55995:ABARANA TV
439:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):55996:NJ TV
440:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):55997:HARINI TV
441:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):55998:AMN TV
442:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):55999:PRIYA TV
443:Ramanathapuram:Ramanathapuram (Incl. Kilakarai):56000:VANAM TV
444:Ramanathapuram:Rameswaram:55990:SRI SABARI TV
445:Ramanathapuram:Rameswaram:55991:JR TV (QUEEN TV)
446:Ramanathapuram:Thriuvadanai:55992:SR TV
447:Ramanathapuram:Thriuvadanai:55993:SR PLUS TV
448:Ramanathapuram:Thriuvadanai:56549:RM TV
449:Ramanathapuram:Thriuvadanai:56624:NPK CABLE VISION
450:Ramanathapuram:Thriuvadanai:56725:MULLAI TV
451:Ramanathapuram:Thriuvadanai:56734:VIGNESH TELEVISION
452:Ramanathapuram:Thriuvadanai:56740:VANAM TV
453:Ramanathapuram:Thriuvadanai:56757:SRI TV
454:Selam:Edapady:56017:POLIMER CHANNEL
455:Selam:Edapady:56021:WINSTAR CHANNEL
456:Selam:Edapady:56022:DEEPAM TV
457:Selam:Edapady:56023:AMMAN TV
458:Selam:Edapady:56024:CITY TV
459:Selam:Edapady:56025:CTN CHANNEL
460:Selam:Edapady:56615:SSV
461:Selam:Edapady:56621:JAYAAM ENTERTAINMENT
462:Selam:Mettur:56026:CTN CHANNEL
463:Selam:Mettur:56027:CITY TV
464:Selam:Mettur:56028:POLIMER CHANNEL
465:Selam:Mettur:56029:SHRI MAGA TV
466:Selam:Mettur:56030:AMMAN TV
467:Selam:Mettur:56031:WINSTAR CHANNEL
468:Selam:Mettur:56032:OM TV
469:Selam:Mettur:56033:ADHAVAN TV
470:Selam:Mettur:56622:JAYAM TV
471:Selam:Mettur:56661:SSV Channel
472:Selam:Mettur:56747:IMAGE TV
473:Selam:Mettur:56777:SK TV
474:Selam:Omalur:56034:SRI SABARINATH SAT VISION
475:Selam:Omalur:56035:DEEPAM TV
476:Selam:Omalur:56036:POLIMER CHANNEL
477:Selam:Omalur:56037:R TV
478:Selam:Omalur:56038:WINSTAR CHANNEL
479:Selam:Omalur:56039:OM TV
480:Selam:Omalur:56040:OM SAKTHI CABLE VISION
481:Selam:Omalur:56041:CITY TV
